Predominant Color,Secondary Color,Major Diameter (cm),Minor Diameter (cm),Aspect Ratio,Roundness,Elongation,Shape Type,Contrast,Correlation,Energy,Entropy,Edge Density,Hu Moment 1,Hu Moment 2,Hu Moment 3,Variety
Marron,Anaranjado,5.630688950840116,3.9492296491448853,1.4257689349768028,0.6706070951485615,0.32939290485143846,Comprimido,20.13463171446572,0.997909838461647,0.8343489621506487,2.712864284984096,0.19278866697328206,0.7670592387065579,2.496740516420017,3.935314385130166,V61
Marron,Anaranjado,5.304450564946136,3.905661134957696,1.3581440841010368,0.6784352281010598,0.32156477189894017,Comprimido,4.295482996763652,0.9995876584031518,0.825303859652513,2.6249884035029507,0.04461843739375984,0.7735115208634453,2.592246718270309,4.322105879747574,V61
Marron,Anaranjado,5.185929048096906,3.9269112098976313,1.3206127592154282,0.6772439518477162,0.32275604815228376,Comprimido,4.451949280593444,0.9995749157784731,0.8184583349450094,2.7134532277521335,0.03510407090293635,0.773672981762804,2.597007852830006,4.318132961360577,V61
Marron,Anaranjado,3.979185032065581,2.7358481525652745,1.4544612164730302,0.7195436631235315,0.28045633687646854,Comprimido,3.9391599333771103,0.999575070039403,0.8258286338906198,2.567383085471278,0.04506302219414855,0.7589891224540251,2.343086735537222,4.493440406887773,V61
Marron,Anaranjado,2.735314762379226,2.5235162902589807,0.9225688849293456,0.7076837714348143,0.2923162285651857,Esferico,5.541498106792002,0.999373389393329,0.8421828956422943,2.375347250341041,0.06024517137788854,0.7852271140082011,2.9248899443040246,4.594198397365606,V61
Marron,Anaranjado,3.9926211585710023,3.23057784570396,0.8091370849871002,0.5984819661300104,0.40151803386998963,Eliptico,6.410479602328681,0.9994433581119211,0.7909442622941486,3.099330698410257,0.054193741302572714,0.7520487697172705,2.2766602081972316,4.2063322431220795,V61
Marron,Anaranjado,3.836476032406998,3.2182083015787324,0.8388448863994685,0.5842402647966054,0.4157597352033946,Eliptico,13.366973437301416,0.9989406585582786,0.7259929576076285,4.040440320823391,0.13862275234015245,0.7550570675190625,2.3347853189043533,3.986712878021771,V61
Marron,Anaranjado,4.0743684513683185,3.3308589625271816,0.8175154020271682,0.6110818714097077,0.3889181285902923,Eliptico,3.321051634422752,0.9996360765985718,0.8193158233399969,2.5244597249470178,0.02433102249057659,0.7537728659433731,2.3087377714148873,4.051435318815152,V61
Marron,Anaranjado,4.11109238547693,3.2234218243623336,1.2753814453962127,0.6957822105599836,0.30421778944001643,Comprimido,4.757864153650506,0.9995206134149597,0.8259863749643506,2.5958871037845785,0.07064729157267258,0.7803365223217527,2.7343218085113516,4.605628424060149,V61
Marron,Anaranjado,4.500110835867168,3.504009217235845,0.7786495366531622,0.7103077129998002,0.2896922870001998,Eliptico,3.212821318180845,0.9996792194606815,0.8172659624077457,2.6858376423767973,0.042255858497154596,0.774130322080539,2.6660716153131303,3.737508424609861,V61
